"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 13:50:52 GMT 2024","Wed Jun 12 13:50:52 GMT 2024","6","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Wed Jun 12 13:50:55 GMT 2024","Wed Jun 12 13:50:57 GMT 2024","1269","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"unknown","Wed Jun 12 13:50:52 GMT 2024","Wed Jun 12 13:50:52 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Wed Jun 12 13:50:52 GMT 2024","Wed Jun 12 13:50:54 GMT 2024","1283","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 13:50:57 GMT 2024","Wed Jun 12 13:50:58 GMT 2024","1253","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 13:50:54 GMT 2024","Wed Jun 12 13:50:55 GMT 2024","1304","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 13:51:00 GMT 2024","Wed Jun 12 13:51:01 GMT 2024","1206","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 13:50:58 GMT 2024","Wed Jun 12 13:51:00 GMT 2024","1243","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 13:51:01 GMT 2024","Wed Jun 12 13:51:02 GMT 2024","376","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
