"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 21:11:14 GMT 2024","Mon Jun 10 21:11:15 GMT 2024","1356","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:11:18 GMT 2024","Mon Jun 10 21:11:20 GMT 2024","1420","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:11:10 GMT 2024","Mon Jun 10 21:11:12 GMT 2024","1895","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:11:12 GMT 2024","Mon Jun 10 21:11:13 GMT 2024","1365","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:11:20 GMT 2024","Mon Jun 10 21:11:21 GMT 2024","431","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Mon Jun 10 21:11:09 GMT 2024","Mon Jun 10 21:11:09 GMT 2024","7","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Mon Jun 10 21:11:17 GMT 2024","Mon Jun 10 21:11:18 GMT 2024","1369","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:11:15 GMT 2024","Mon Jun 10 21:11:17 GMT 2024","1381","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"unknown","Mon Jun 10 21:11:09 GMT 2024","Mon Jun 10 21:11:09 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
