"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 21:03:29 GMT 2024","Wed Jun 12 21:03:30 GMT 2024","1323","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 21:03:32 GMT 2024","Wed Jun 12 21:03:33 GMT 2024","1230","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 21:03:28 GMT 2024","Wed Jun 12 21:03:28 GMT 2024","6","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Wed Jun 12 21:03:33 GMT 2024","Wed Jun 12 21:03:35 GMT 2024","1240","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"unknown","Wed Jun 12 21:03:28 GMT 2024","Wed Jun 12 21:03:28 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Wed Jun 12 21:03:38 GMT 2024","Wed Jun 12 21:03:38 GMT 2024","339","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Wed Jun 12 21:03:35 GMT 2024","Wed Jun 12 21:03:36 GMT 2024","1242","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 21:03:36 GMT 2024","Wed Jun 12 21:03:37 GMT 2024","1285","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 21:03:30 GMT 2024","Wed Jun 12 21:03:32 GMT 2024","1269","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
