"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 12:22:51 GMT 2024","Tue Jun 11 12:22:52 GMT 2024","450","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Tue Jun 11 12:22:45 GMT 2024","Tue Jun 11 12:22:47 GMT 2024","1634","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:22:49 GMT 2024","Tue Jun 11 12:22:51 GMT 2024","1655","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:22:40 GMT 2024","Tue Jun 11 12:22:42 GMT 2024","1459","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:22:47 GMT 2024","Tue Jun 11 12:22:49 GMT 2024","1882","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:22:42 GMT 2024","Tue Jun 11 12:22:43 GMT 2024","1395","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:22:43 GMT 2024","Tue Jun 11 12:22:45 GMT 2024","1682","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"unknown","Tue Jun 11 12:22:39 GMT 2024","Tue Jun 11 12:22:39 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Tue Jun 11 12:22:40 GMT 2024","Tue Jun 11 12:22:40 GMT 2024","7","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
