"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 21:33:05 GMT 2024","Mon Jun 10 21:33:05 GMT 2024","5","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Mon Jun 10 21:33:11 GMT 2024","Mon Jun 10 21:33:13 GMT 2024","1572","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:33:15 GMT 2024","Mon Jun 10 21:33:16 GMT 2024","1483","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:33:09 GMT 2024","Mon Jun 10 21:33:11 GMT 2024","1616","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:33:13 GMT 2024","Mon Jun 10 21:33:14 GMT 2024","1459","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:33:06 GMT 2024","Mon Jun 10 21:33:07 GMT 2024","1619","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:33:08 GMT 2024","Mon Jun 10 21:33:09 GMT 2024","1609","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:33:16 GMT 2024","Mon Jun 10 21:33:17 GMT 2024","651","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"unknown","Mon Jun 10 21:33:05 GMT 2024","Mon Jun 10 21:33:05 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
