"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 20:33:52 GMT 2024","Mon Jun 10 20:33:54 GMT 2024","1805","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 20:33:51 GMT 2024","Mon Jun 10 20:33:51 GMT 2024","6","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Mon Jun 10 20:33:54 GMT 2024","Mon Jun 10 20:33:56 GMT 2024","1563","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 20:34:03 GMT 2024","Mon Jun 10 20:34:04 GMT 2024","586","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Mon Jun 10 20:34:01 GMT 2024","Mon Jun 10 20:34:03 GMT 2024","1554","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 20:33:58 GMT 2024","Mon Jun 10 20:33:59 GMT 2024","1579","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 20:33:56 GMT 2024","Mon Jun 10 20:33:57 GMT 2024","1578","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"unknown","Mon Jun 10 20:33:51 GMT 2024","Mon Jun 10 20:33:51 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Mon Jun 10 20:33:59 GMT 2024","Mon Jun 10 20:34:01 GMT 2024","1565","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
