"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 21:14:22 GMT 2024","Mon Jun 10 21:14:24 GMT 2024","1542","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:14:24 GMT 2024","Mon Jun 10 21:14:26 GMT 2024","1571","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:14:26 GMT 2024","Mon Jun 10 21:14:27 GMT 2024","1607","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:14:18 GMT 2024","Mon Jun 10 21:14:18 GMT 2024","12","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Mon Jun 10 21:14:20 GMT 2024","Mon Jun 10 21:14:22 GMT 2024","1675","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:14:18 GMT 2024","Mon Jun 10 21:14:20 GMT 2024","1732","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 21:14:29 GMT 2024","Mon Jun 10 21:14:30 GMT 2024","718","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"unknown","Mon Jun 10 21:14:18 GMT 2024","Mon Jun 10 21:14:18 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Mon Jun 10 21:14:28 GMT 2024","Mon Jun 10 21:14:29 GMT 2024","1684","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
