"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 12:07:52 GMT 2024","Tue Jun 11 12:07:54 GMT 2024","1665","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:07:43 GMT 2024","Tue Jun 11 12:07:43 GMT 2024","6","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Tue Jun 11 12:07:51 GMT 2024","Tue Jun 11 12:07:52 GMT 2024","1527","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:07:47 GMT 2024","Tue Jun 11 12:07:48 GMT 2024","1625","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:07:43 GMT 2024","Tue Jun 11 12:07:45 GMT 2024","1667","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"unknown","Tue Jun 11 12:07:42 GMT 2024","Tue Jun 11 12:07:42 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Tue Jun 11 12:07:45 GMT 2024","Tue Jun 11 12:07:47 GMT 2024","1586","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:07:54 GMT 2024","Tue Jun 11 12:07:55 GMT 2024","556","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Tue Jun 11 12:07:49 GMT 2024","Tue Jun 11 12:07:50 GMT 2024","1779","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
