"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 13:48:44 GMT 2024","Wed Jun 12 13:48:45 GMT 2024","1255","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 13:48:42 GMT 2024","Wed Jun 12 13:48:44 GMT 2024","1240","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 13:48:45 GMT 2024","Wed Jun 12 13:48:47 GMT 2024","1275","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 13:48:48 GMT 2024","Wed Jun 12 13:48:49 GMT 2024","856","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Wed Jun 12 13:48:38 GMT 2024","Wed Jun 12 13:48:38 GMT 2024","10","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Wed Jun 12 13:48:47 GMT 2024","Wed Jun 12 13:48:48 GMT 2024","1247","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Wed Jun 12 13:48:40 GMT 2024","Wed Jun 12 13:48:42 GMT 2024","1769","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"unknown","Wed Jun 12 13:48:38 GMT 2024","Wed Jun 12 13:48:38 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Wed Jun 12 13:48:39 GMT 2024","Wed Jun 12 13:48:40 GMT 2024","1350","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
