"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 20:47:57 GMT 2024","Mon Jun 10 20:47:59 GMT 2024","1777","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 20:48:03 GMT 2024","Mon Jun 10 20:48:03 GMT 2024","743","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Mon Jun 10 20:47:53 GMT 2024","Mon Jun 10 20:47:55 GMT 2024","1427","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 20:47:59 GMT 2024","Mon Jun 10 20:48:01 GMT 2024","1792","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 20:47:55 GMT 2024","Mon Jun 10 20:47:57 GMT 2024","1625","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"unknown","Mon Jun 10 20:47:51 GMT 2024","Mon Jun 10 20:47:51 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Mon Jun 10 20:47:51 GMT 2024","Mon Jun 10 20:47:51 GMT 2024","5","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Mon Jun 10 20:48:01 GMT 2024","Mon Jun 10 20:48:02 GMT 2024","1646","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Mon Jun 10 20:47:51 GMT 2024","Mon Jun 10 20:47:53 GMT 2024","1783","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
