"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 12:10:43 GMT 2024","Tue Jun 11 12:10:45 GMT 2024","2149","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:10:40 GMT 2024","Tue Jun 11 12:10:40 GMT 2024","5","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Tue Jun 11 12:10:41 GMT 2024","Tue Jun 11 12:10:42 GMT 2024","1679","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:10:51 GMT 2024","Tue Jun 11 12:10:53 GMT 2024","1619","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:10:47 GMT 2024","Tue Jun 11 12:10:49 GMT 2024","1630","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:10:49 GMT 2024","Tue Jun 11 12:10:51 GMT 2024","1648","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"unknown","Tue Jun 11 12:10:40 GMT 2024","Tue Jun 11 12:10:40 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Tue Jun 11 12:10:45 GMT 2024","Tue Jun 11 12:10:47 GMT 2024","1965","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Open what's new URL","TC-01.01 Open what's new URL"
"passed","Tue Jun 11 12:10:53 GMT 2024","Tue Jun 11 12:10:53 GMT 2024","606","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
